game_id,rating,user,description
246192,6.0,3davoli,for sale
246192,8.0,4ndrewcol3,My favorite shorter game
246192,6.0,Abdul,"Decent but forgettable. I would have expected at least some names for the various cards to inject a little theme into the gameplay. Just too dry and simple for me. The marble dispenser is cute, but kept breaking and dropping marbles onto the table."
246192,10.0,AbleCompany,My pick for an engine building game with just the right kind of theming and accessible play.
246192,7.0,Abruptdolphin,Slimbo
246192,7.0,Achire,"Light game. Pretty fun with all the card combos and I like the mechanics a lot. The marble randomization is pretty cool. The only thing I don't like is the game length - it feels a little too short, so it doesn't really feel like your engine actually comes together before the game ends. The super-short length also makes it really hard to come back from bad luck. So good game that I'd be happy to play, but don't feel the need to own it."
246192,8.0,Acoidan85,Grintxitos 
246192,7.5,adamdynris,Boardgamebliss dec. 2018
246192,8.0,adamgospod,W koszulkach
246192,6.0,adamredwoods,"1 play / 3 players (1 child)  LIKE: Engine building is fun, as well as creating some nice big combos. Pulling marbles out randomly has a nice tactile feel.  DISLIKE: The different marble colors can come out randomly as six of the same colors and if there is nothing to do with the single color, it can clog the game flow. The cards can come out random, and again if a particular color seems to be rarer than others, it can swing the game a little. The extra-point-per-3-points card seemed under-valued. Minimal player interaction.  OVERALL: Very light game, good for families because the marbles are nice. Some novice players found it difficult to know the order of what triggers, but after a few turns it starts to work for them. Similar to, but I prefer Splendor.   Similar games: Splendor, Century Spice Road."
246192,9.0,adamscott,"Another solid Phil Walker-Harding game.  Easy to learn, but enough strategic depth to satisfy.  After two plays, I really enjoy it and have put it on my wish list.  Not sure how long it'll hold my attention since it's so light, but great game for now!"
246192,8.0,adamw,It is very fun - like a small step up from Splendor or Century Spice Road because it has combos that are quite satisfying. The end game scoring could be close - or could be a blow out depending on a few of those Level 3 cards that can really score big if combined well. Very fun and delightful in production!
246192,8.0,Addiction2k,"Its got some broken level 3 cards, However if you remove those cards it gets more even and replayable. It’s actually a little better an I oiriginally thought. And new gamers love this once the light bulb goes on for them."
246192,8.0,aeaswen,This is a great game for what it is. A light game that is quick that will introduce players to engine building and combo type games. I have enjoyed every play of it.
246192,7.0,agentpatman,"I love engine building and I love building combos but there is something that didn't quite work for me on this one. I will preface this with my opinion that probably looking for something this game is not and I might not be the right audience. After some reflection, I think what I dislike is that you have to challenge yourself and add your own complexity to make this game have interesting decisions. There is a turning point about half way through where your engine is so strong you can do whatever you want and get whatever you need and just start cashing in for the next 20 minutes. It becomes less interesting when the strategy is done and you are essentially racing to the finish. I wish personally the engine was more difficult to build or the cards were more difficult to pull off. The most expensive card in the game you could technically get it in 5 turns or less without implementing any strategy. Compare that to century spice or other games and you have to make quite a few clever moves to pull off your first card. You have to add your own cleverness or complexity by trying to build your engine a certain way rather than just grab what you need. I certainly enjoyed the first half of the way of building the initial engine and figuring out what combos well with what. I also wonder if the game wouldn't be better without the filing aspect and have that be another challenge of trying to be the first to obtain those cards rather than reserving them. I also think researching adds the ability to also just grab what you need without much work as well. I'd also prefer if the cards were more expensive or varied so you were incentivized to build a multi-layered engine rather than an engine that gives you blues and researching and building all blue cards.   The overall experience was enjoyable and entertaining, I just don't think there is enough meat or complexity or something here for me to be rewarded or clever with the strategy. Pulling off big combos is certainly very fun, but I wish it was harder to obtain and less frequently used rather than every turn just piling on more and more as you race to the end. The end game trigger of reaching a certain size is also pretty strange as there was never a natural ending so someone said, that's too powerful, lets stop here. I would have rather seen it done in a certain number of rounds, or maybe don't refill the tower and that triggers the game so investing in certain strategies makes sense based on what was used and what is left. I think any of those combinations would make this more strategic and something I would enjoy more. However as a lighter entertaining time, I think this is certainly unique because of the marbles and 3D tower but it could have been anything."
246192,7.0,AidanValkyrie,"VIE/OFF  Despite Gizmo being distributed in Vietnam, the price is extremely ridiculous, components quality is a joke, wouldn’t be buying if this is not discounted. Gameplay is decent, willing to play again sometimes."
246192,7.0,Ajax,Really nice engine-building game.  It ramps up well from truly simple to slightly mind-melting.  Almost goes on a little long.  Good use of iconography and insert.
246192,7.0,ajax013,"+ Great match of simple rules with escalating gameplay; as silly as it is, the energy dispenser adds a lot to the appeal of this game. - I actually wish that the four energy types weren't symmetric in what they offer... it would have been cool is heat energy was somehow inherently different than atomic energy, etc.   Why it's previously-owned: The thematic detachment... why couldn't they take time to make gizmos for each energy type feel different and unique and interesting.  Just felt close to something amazing that it bothered me each time I played."
246192,7.0,ajewo,"Action selection game with card drafting. Players are tinkers who build gizmos. Colored marbles represent power required for the colored cards (gizmos). A three dimensional cardboard cue shows which marbles come next.   Pros: + Components (tactile, big marbles, marble tower) + Built gizmos grant special powers, e.g., converters, additional marbles (engine building) + Upgrade your stats + Convert marbles give flexibility + Satisfying combo building that mixes short-term and mid-term planing + Quick playing time  Neutrals: # Rather abstract game # Random draw of marbles # Family game # Higher player counts create more unpredictability for the available marbles.  Cons: - Starts a bit slow - Over the course of the game, there are a lot of triggered effects to keep track of (potential analysis paralysis may slow down the game)  Similar games: * Mechanica (factory, spatial puzzle, swingy market, cool theme integration) * Potion Explosion (very luck-based)"
246192,8.8,ajie426,combo很多，爽
246192,9.0,akmalfikri,"My go to engine building game. Easy to set up, easy to play. I can play with nieces and nephews."
246192,9.0,Al Capwnd You,"Gismos feels like a lighter version of Terraforming Mars in terms of an engine builder. A card-and-marble engine building game where you can chain/domino abilities. The marbles might initially think of a kid's game, but there is a good bit of strategy to make an efficient engine work towards earning you points and not just spinning its wheels.  Terraforming Mars feels like it is a more mature game with more depth, but Gizmos is easier to get to the table for a family. If you enjoy engine builders, Gizmos is a great addition as a lightweight introductory game that will still be fun after the initial play."
246192,6.0,Alannamairead,"engine builder, neat design but can be a bit slow if you don't get your engine up and running pretty quickly"
246192,7.0,alrusdi,"Great mix of Potion Explosion, Splendor and Space Explorers with super dynamic gameplay  "
246192,6.0,AmandaDesignsGames,"A cool concept, great table present, but the game felt very flat to me. No build up, no tension, just going through the motion more and more."
246192,6.0,AmassGames,"Engine builder, prefer others"
246192,7.5,AmethystJewel,2/20 E23 Nice medium weight game where you try to get an engine going. Gotta pay attention to all of the tiles you have laid down as chaining is a big part of this game.
246192,8.0,ameto,includes Lost Designs promo set
